1,week,ons_geog_code,percentage_pop_est,percentage_pop_est_lci,percentage_pop_est_uci,pop_est,pop_est_lci,pop_est_uci
56,2021-19,E92000001,0.09,0.07,0.11,48500,38400,60200
57,2021-20,E92000001,0.16,0.13,0.19,85600,71900,100900
58,2021-21,E92000001,0.18,0.15,0.21,96800,80500,114400
59,2021-22,E92000001,0.19,0.16,0.23,105000,88500,124000
60,2021-23,E92000001,0.22,0.19,0.26,122500,103900,142500
61,2021-24,E92000001,0.39,0.34,0.44,211100,185200,239300
62,2021-25,E92000001,0.61,0.54,0.68,332900,296700,368700
63,2021-26,E92000001,1.06,0.98,1.15,577700,532700,625300
64,2021-27,E92000001,1.36,1.26,1.46,741700,689600,797800
65,2021-28,E92000001,1.57,1.46,1.68,856200,798600,915000
66,2021-29,E92000001,1.32,1.23,1.42,722300,671800,775900
67,2021-30,E92000001,1.33,1.25,1.43,726700,679300,777800
68,2021-31,E92000001,1.28,1.19,1.37,698100,648800,747700
69,2021-32,E92000001,1.39,1.3,1.48,756900,710100,806200
70,2021-33,E92000001,1.41,1.31,1.51,766100,714400,821800
71,2021-34,E92000001,1.38,1.29,1.48,754600,704000,808800
72,2021-35,E92000001,1.28,1.19,1.36,697100,650600,743800
73,2021-36,E92000001,1.14,1.06,1.22,620100,577100,663900
74,2021-37,E92000001,1.21,1.13,1.28,658800,617900,700600
75,2021-38,E92000001,1.44,1.35,1.53,786300,737600,835300
76,2021-39,E92000001,1.63,1.54,1.73,890000,839700,941300
77,2021-40,E92000001,1.79,1.7,1.89,977900,926600,1028800
78,2021-41,E92000001,2.02,1.91,2.13,1102800,1043900,1161200
79,2021-42,E92000001,2.02,1.91,2.13,1103300,1042700,1163400
80,2021-43,E92000001,1.7,1.61,1.79,925400,875200,975100
81,2021-44,E92000001,1.51,1.42,1.6,824900,775500,873700
82,2021-45,E92000001,1.58,1.49,1.67,862300,813800,913300
83,2021-46,E92000001,1.65,1.55,1.75,898900,847500,951500
84,2021-47,E92000001,1.64,1.54,1.73,891500,842000,941200
85,2021-48,E92000001,1.72,1.62,1.81,936000,883900,989100
86,2021-49,E92000001,2.21,2.1,2.32,1202300,1146800,1263000
87,2021-50,E92000001,2.83,2.71,2.96,1544600,1477900,1615800
88,2021-50,E92000001,3.71,3.58,3.84,2024700,1951200,2096300
89,2021-51,E92000001,6,5.8,6.19,3270800,3163500,3377500
90,2021-52,E92000001,6.85,6.65,7.06,3735000,3624800,3848700
91,2022-1,E92000001,5.47,5.29,5.64,2984200,2886900,3077300
92,2022-2,E92000001,4.82,4.66,4.98,2629400,2542500,2716500
93,2022-3,E92000001,4.83,4.67,5,2633100,2544100,2725100
94,2022-4,E92000001,5.18,5.03,5.34,2824700,2740300,2910300
95,2022-5,E92000001,4.49,4.34,4.64,2449100,2368200,2532600
96,2022-6,E92000001,3.84,3.7,3.99,2096200,2015100,2175600
97,2022-7,E92000001,3.55,3.41,3.65,1933500,1861700,1992300
98,2022-8,E92000001,3.8,3.65,3.95,2073900,1992700,2155900
99,2022-9,E92000001,4.87,4.72,5.02,2653200,2571500,2739700
100,2022-10,E92000001,6.39,6.21,6.58,3485700,3387500,3585800
101,2022-11,E92000001,7.56,7.36,7.75,4122700,4013600,4228300
102,2022-12,E92000001,7.6,7.4,7.79,4141600,4033600,4249500
103,2022-13,E92000001,6.92,6.72,7.13,3773800,3662100,3888000
104,2022-14,E92000001,5.9,5.72,6.08,3218700,3120200,3317200
105,2022-15,E92000001,4.42,4.27,4.58,2408300,2326300,2494500
106,2022-16,E92000001,2.91,2.78,3.04,1586900,1516200,1659000
107,2022-17,E92000001,2.21,2.09,2.33,1204100,1142200,1269800
108,2022-18,E92000001,1.9,1.8,2,1037400,981800,1091700
109,2022-19,E92000001,1.6,1.51,1.7,874400,822200,928900
110,2022-20,E92000001,1.44,1.35,1.53,784100,735800,832700
111,2022-21,E92000001,1.46,1.37,1.56,797500,745900,851700
112,2022-22,E92000001,2.07,1.96,2.19,1131000,1066000,1196100
113,2022-23,E92000001,2.5,2.36,2.64,1360600,1285600,1438200
114,2022-24,E92000001,3.35,3.2,3.51,1829100,1745900,1914300
115,2022-25,E92000001,3.95,3.78,4.12,2154000,2062600,2247100
116,2022-26,E92000001,5.27,5.05,5.49,2873600,2754900,2991100
117,2022-27,E92000001,5.77,5.52,6.03,3147700,3012300,3290500
118,2022-28,E92000001,4.83,4.6,5.06,2632200,2507500,2757500
119,2022-29,E92000001,3.86,3.64,4.1,2106000,1987200,2234800
120,2022-30,E92000001,2.63,2.46,2.8,1432900,1339600,1524800
121,2022-32,E92000001,2.22,2.09,2.36,1211100,1140200,1285400
122,2022-33,E92000001,1.64,1.54,1.75,893300,837700,952700
123,2022-34,E92000001,1.41,1.3,1.54,770800,706900,838000
